,date,tweet,username,tweet_clean,label
0,3/20/22 23:59,Belajar dari mandalika Tidak semua hal bisa diterima dengan logika.,garpulicious,Belajar dari mandalika Tidak semua hal bisa diterima dengan logika.,0
1,3/20/22 23:59,"@ngawur_post Tikungan 13 Mandalika membuat Marc Marquez terjatuh dan motor Alex Rins terbakar, ini menurut pendapat lesti dan billar.",adhimmhrdika,"Tikungan Mandalika membuat Marc Marquez terjatuh dan motor Alex Rins terbakar, ini menurut pendapat lesti dan billar.",2
2,3/20/22 23:59,@eadala_o1 @kulitbumi TENGKYUUU SO MUCHHH PAK JOKOWI.. Acara MANDALIKA SUKSEESSSSS...   Kadal kejang kejang Pak @jokowi . SUKSESSS,FemmyManroe,TENGKYUUU SO MUCHHH PAK JOKOWI.. Acara MANDALIKA SUKSEESSSSS... Kadal kejang kejang Pak . SUKSESSS,1
3,3/20/22 23:59,"Rara Istiati Wulandari, Ungkap Penyebab Gangguan Hujan Deras saat MotoGP Mandalika  https://t.co/WQeOflIc2u",geloraco,"Rara Istiati Wulandari, Ungkap Penyebab Gangguan Hujan Deras saat MotoGP Mandalika",0
4,3/20/22 23:59,Salah satu yg terpenting bagaimana memelihara Circuit Mandalika jangan sampai seperti gedung2 bekas PON yg terbekalai krn gak keurus Pemda,dedensujana,Salah satu yg terpenting bagaimana memelihara Circuit Mandalika jangan sampai seperti gedung2 bekas PON yg terbekalai krn gak keurus Pemda,0
5,3/20/22 23:59,"@CNNIndonesia Intinya banyak masyarakat Indonesia bangga dgn adanx sircuit Mandalika ,kluali masyarakat tertentu yg bisanya hanya berpikiran negatif",jkanest,"Intinya banyak masyarakat Indonesia bangga dgn adanx sircuit Mandalika ,kluali masyarakat tertentu yg bisanya hanya berpikiran negatif",1
6,3/20/22 23:59,"Kalau saja almarhum Didi Kempot masih ada, pasti sekarang kita lagi dengerin lagu tentang patah hati di Mandalika..  Deny Caknan, your move, please..",Pak_Irv,"Kalau saja almarhum Didi Kempot masih ada, pasti sekarang kita lagi dengerin lagu tentang patah hati di Mandalika.. Deny Caknan, your move, please..",0
7,3/20/22 23:58,"@SlevinSojiro @Belok_dong Mau efektif mau enggak... Acara akbar balapan sudah berjalan dengan suksesnya... Pengguna Pawang Puas, Rara mendunia... Kearifan lokal bukan hanya masalah untung - rugi.. Budaya ada pada rasa, nikmati saja pertunjukannya... Bravo",SriRedjeki2,"Mau efektif mau enggak... Acara akbar balapan sudah berjalan dengan suksesnya... Pengguna Pawang Puas, Rara mendunia... Kearifan lokal bukan hanya masalah untung - rugi.. Budaya ada pada rasa, nikmati saja pertunjukannya... Bravo Mandalika... Bravo Rara..",1
8,3/20/22 23:58,Allah Maha Besar. Di Mandalika Allah menunjukkan kuasanya. Mengabulkan doa dengan cara yang tidak kamu percaya. Ternyata Allah tidak hanya  mengabulkan doa kaummu saja.,cgtrisanjaya,Allah Maha Besar. Di Mandalika Allah menunjukkan kuasanya. Mengabulkan doa dengan cara yang tidak kamu percaya. Ternyata Allah tidak hanya mengabulkan doa kaummu saja.,0
9,3/20/22 23:58,Tahun depan minta bangun jalur kereta api pak gub. Biar ga macet je Mandalika,BiLLYKHAERUDIN,Tahun depan minta bangun jalur kereta api pak gub. Biar ga macet je Mandalika,2
10,3/20/22 23:58,"Sebenernya pawang ujan mandalika bukan buat mengusir ujan, cuma buat liatin budaya aja gak sih wkwkwk Indonesia pride",thifaafaa,"Sebenernya pawang ujan mandalika bukan buat mengusir ujan, cuma buat liatin budaya aja gak sih wkwkwk Indonesia pride",1
11,3/20/22 23:58,MotoGP 2022 Mandalika sukses. Kesempatan kuatkan brand pariwisata Indonesia  @erickthohir  #DenganETMerdekaBerdaulat  https://t.co/F9QTPVQ5wr,mahkota43990861,MotoGP Mandalika sukses. Kesempatan kuatkan brand pariwisata Indonesia,1
12,3/20/22 23:58,"Momen Bangga Oliveira Persembahkan Juara MotoGP Mandalika untuk Risman  https://t.co/SB3US9KHUq  Dari semua berita selama MotoGP Mandalika, berita ini cocok nih jadi gong buat pemerintah &amp",qronoz,"Momen Bangga Oliveira Persembahkan Juara MotoGP Mandalika untuk Risman Dari semua berita selama MotoGP Mandalika, berita ini cocok nih jadi gong buat pemerintah &amp; panitia penyelenggara. Gol buat dorong pariwisata di Lombok langsung divalidasi juaranya",1
13,3/20/22 23:58,"gamau ngetawain pawang hujan gp mandalika, soalnya gaji dia 21 hari lebih gede dibanding gajiku setahun :(",widyavirgiana,"gamau ngetawain pawang hujan gp mandalika, soalnya gaji dia hari lebih gede dibanding gajiku setahun",0
