Unnamed: 0,date,tweet,username,sentiment
1001,2022-03-20 18:34:00,"@idextratime @HRC_MotoGP jauh2 ke mandalika, dapet joget dangdut momen yg paling ngena nya :(",sendalpiraun,1
1004,2022-03-20 18:32:57,"Nah,  Lantas apa hubungannya sama hal klenik yang ramai dibicarakan netizen Indonesia? Secara garis besar TMC juga berpengaruh dalam memodifikasi cuaca untuk Mandalika. Saya percaya, hal yang dilakukan mbak Rara bukan suatu kesalahan selama itu berbentuk doa.",JustYourNda,1
1006,2022-03-20 18:32:56,TMC sudah beroperasi sejak 18-20 Maret lantaran BMKG memprediksi pada periode tersebut Mandalika berpotensi diguyur hujan ekstrem.  https://t.co/fJlg7haLX8,JustYourNda,2
1007,2022-03-20 18:32:53,Terbukti dari konsentrasi hujan pada 18 dan 19 Maret yang mampu dieliminasi dari Mandalika ke perairan selatan Pulau Lombok.,JustYourNda,0
1012,2022-03-20 18:31:46,"congratulations to the riders ??? #IndonesianGP   sebenernya tuh, siapapun yg jadi juara nya tetep seneng aja gitu ngelihatnya, cuma satu yang disayangkan @marcmarquez93 ga bisa ikut race di mandalika:( gegara crash kemaren, padahal udah excited gua nonton marquez ????",gataugaliat_,1
1021,2022-03-20 18:28:18,@Diowah @pemudaberbakatt yoiki pawang udan e mandalika,stillthereee,0
1024,2022-03-20 18:25:55,"yang memalukan itu bukan ritual yg dilakukan pawang hujan di sirkuit mandalika, yang memalukan itu kalian2 yg sok agamis, sok bilang syirik dsb, tapi ternyata akun nya suka follow dan ngelike bok*p hehehe??",patatri_pw,2
1027,2022-03-20 18:24:44,@idextratime Mungkin penunggu tikungan Mandalika fans berat Rossi,baraswaraaa,0
1029,2022-03-20 18:23:47,"@MaulanaPrayitno @Tan_Mar3M Pantai Kuta, Pantai Seger &amp; Pantai Tanjung Aan, &amp; kawasan sekitarnya di Lombok Tengah inilah yg dikembangkan menjadi Kawasan Ekonomi Khusus Mandalika seluas lebih seribu hektare yg diresmikan Presiden @jokowi ,20 Oktober 2017 lalu. #IndonesianMotoGP   #IndonesiaHebat",htm_007,1
103,2022-03-20 23:45:58,"Headline @hariankompas SENIN, 21/03: ? Dibalik Balapan Dramatis di Sirkuit Mandalika  ? All England 2022: Kebanggaan dari Generasi Baru   Simak Ulasannya &amp; Berita Lainnya Dlm #RedaksiKOMPASBicara  #SONORAPAGI Pk.7.20 wib di #SonoraNetwork  ??  https://t.co/nFJVA6ZBDL  https://t.co/cKD56O4Zng",SonoraFM92,0
1030,2022-03-20 18:23:38,"Gelaran perdana MotoGP Mandalika dari Pertamina Grand Prix of Indonesia menyajikan balapan yang sangat menegangkan dan dimenangkan oleh pembalap Red Bull KTM, Miquel Olivera, pada hari Minggu 20 Maret 2022.  https://t.co/ArSc4EPi1s.",FrankyTts,0
1036,2022-03-20 18:21:55,Negaraku berkumandang di Litar Mandalika!  Tahniah adik Hakim Danish! Memenangi perlumbaan (Race 1) Kejohanan Asia Talent Cup. Dan dengan padunya meninggalkan persaing 15 saat di hadapan!   Kredit : Motortvmy  #DemiMalaysia #BangkitBersama  https://t.co/YmNwGWwqFy,abimalaysia,1
1037,2022-03-20 18:21:55,"Miguel Oliveira berhasil finis di urutan pertama dalam balapan MotoGP Mandalika. Memulai balapan dari posisi ketujuh, Oliveira tampil fantastis.  https://t.co/4a0vN9HvPy",detikcom,1
105,2022-03-20 23:45:43,"@aniesbaswedan @MotoGP Cerita ayah dan anak yg ikut menyaksikan MotoGP di mandalika.  Anak : pak, koq acara nya di tunda?  Bapak : ni sdh kita lihat bersama2 nak, karna hujan jd waktu nya ditunda sampai hujan reda...  Anak : koq bisa hujan ya pak?  Bapak : karna pak anies ikut menonton jg nak.  ??????",SimarmataJojo,2
1051,2022-03-20 18:17:53,@EnggalPamukty GP Mandalika ngundang Presiden ? GP Mandalika ngundang dukun ?,suryowick,1
1053,2022-03-20 18:16:22,Bahahha baru tgok yal ritual tolak hujan kat gp mandalika bahhahaha yakin yal,zzuhehehe,0
